 , T1, T2, T3, T4, T5, T6, T7, T8, T9
mmu-miR-143,1.196036655,1.388221208,1.444494853,1.350509406,1.264380726,1.321655597,1.231918475,1.244344089,1.238898733
mmu-miR-300*,1.071678213,1.040963799,0.83900442,0.862397307,0.913312959,0.905151431,1.052041186,1.031064662,1.074116118
mmu-miR-322,0.444686683,1.818547194,1.783689629,1.318860937,1.160341352,0.921207679,0.651400965,0.646115334,0.580700046
mmu-miR-374,0.559340255,0.803656386,1.014190206,0.957117296,0.914980013,1.102375542,1.056027497,1.164402971,1.218317088
mmu-miR-96,1.150495524,1.670639291,1.506709689,1.233544805,0.957836768,1.032648813,0.737256754,0.760443606,0.747003022
mmu-miR-207,1.898824403,1.407019571,0.934876177,0.996799532,0.924984039,0.860148772,0.91207996,0.938584638,0.902989705
mmu-miR-190,0.905459365,1.314496333,1.721176221,1.475304299,1.468704748,1.477789502,1.224610444,1.235445178,1.152705521
mmu-miR-199b*,0.446334529,0.732159507,0.935036628,0.96093641,1.04017825,1.082660486,1.227792489,1.232325365,1.14992981
mmu-miR-351,0.679431341,0.967199483,0.929815492,0.866189535,0.852367244,0.883165535,0.841702368,0.837755122,0.842410897
mmu-miR-677,1.874710949,1.400456483,1.276331797,1.277650476,1.118745095,1.123108205,0.777773701,0.837214789,0.771603804
